filler,lga,Males
,Albury,27312
,Armidale_Regional,14228
,Ballina,22464
,Balranald,1096
,Bathurst_Regional,22158
,Bayside_(NSW),88307
,Bega_Valley,17731
,Bellingen,6457
,Berrigan,4292
,Blacktown,200448
,Bland,2808
,Blayney,3755
,Blue_Mountains,38133
,Bogan,1237
,Bourke,1201
,Brewarrina,778
,Broken_Hill,8707
,Burwood,19888
,Byron,17437
,Cabonne,6891
,Camden,59162
,Campbelltown_(NSW),87657
,Canada_Bay,43486
,Canterbury-Bankstown,187721
,Carrathool,1553
,Central_Coast_(NSW),169706
,Central_Darling,918
,Cessnock,32511
,Clarence_Valley,27370
,Cobar,2098
,Coffs_Harbour,38438
,Coolamon,2162
,Coonamble,1934
,Cootamundra-Gundagai_Regional,5708
,Cowra,6407
,Cumberland,123032
,Dubbo_Regional,27736
,Dungog,4805
,Edward_River,4219
,Eurobodalla,20022
,Fairfield,103673
,Federation,6433
,Forbes,4656
,Georges_River,75663
,Gilgandra,2151
,Glen_Innes_Severn,4456
,Goulburn_Mulwaree,16352
,Greater_Hume_Shire,5709
,Griffith,13809
,Gunnedah,6574
,Gwydir,2405
,Hawkesbury,33819
,Hay,1453
,Hilltops,9514
,Hornsby,74967
,Hunters_Hill,6661
,Inner_West,90096
,Inverell,8953
,Junee,3723
,Kempsey,15618
,Kiama,11275
,Ku-ring-gai,60443
,Kyogle,4616
,Lachlan,3092
,Lake_Macquarie,105524
,Lane_Cove,19556
,Leeton,5702
,Lismore,21999
,Lithgow,10610
,Liverpool,117376
,Liverpool_Plains,3861
,Lockhart,1687
,Maitland,44524
,Mid-Coast,47469
,Mid-Western_Regional,13080
,Moree_Plains,6541
,Mosman,13214
,Murray_River,6424
,Murrumbidgee,1839
,Muswellbrook,8544
,Nambucca_Valley,10010
,Narrabri,6554
,Narrandera,2854
,Narromine,3297
,Newcastle,84122
,North_Sydney,32896
,Northern_Beaches,130075
,Oberon,2932
,Orange,21526
,Parkes,7264
,Parramatta,130316
,Penrith,108882
,Port_Macquarie-Hastings,41947
,Port_Stephens,37385
,Queanbeyan-Palerang_Regional,32217
,Randwick,66323
,Richmond_Valley,11794
,Ryde,63759
,Shellharbour,37711
,Shoalhaven,54295
,Singleton,12913
,Snowy_Monaro_Regional,11267
,Snowy_Valleys,7541
,Strathfield,23698
,Sutherland_Shire,113532
,Sydney,113245
,Tamworth_Regional,31537
,Temora,2942
,Tenterfield,3354
,The_Hills_Shire,95389
,Tweed,47154
,Upper_Hunter_Shire,7187
,Upper_Lachlan_Shire,4360
,Uralla,2954
,Wagga_Wagga,33379
,Walcha,1507
,Walgett,2810
,Warren,1316
,Warrumbungle_Shire,4654
,Waverley,33926
,Weddin,1852
,Wentworth,3961
,Willoughby,36726
,Wingecarribee,25453
,Wollondilly,27263
,Wollongong,106747
,Woollahra,25314
,Yass_Valley,8609
,Unincorporated_NSW,495
,Alpine,6510
,Ararat,6270
,Ballarat,54865
,Banyule,62244
,Bass_Coast,19871
,Baw_Baw,28153
,Bayside_(Vic.),49052
,Benalla,7051
,Boroondara,81833
,Brimbank,98911
,Buloke,3176
,Campaspe,19084
,Cardinia,59154
,Casey,184899
,Central_Goldfields,6651
,Colac_Otway,11239
,Corangamite,8070
,Darebin,73418
,East_Gippsland,23896
,Frankston,69093
,Gannawarra,5297
,Glen_Eira,73424
,Glenelg,10025
,Golden_Plains,12799
,Greater_Bendigo,59046
,Greater_Dandenong,81701
,Greater_Geelong,132433
,Greater_Shepparton,34224
,Hepburn,8109
,Hindmarsh,2828
,Hobsons_Bay,45342
,Horsham,10050
,Hume,123989
,Indigo,8542
,Kingston_(Vic.),77712
,Knox,78916
,Latrobe_(Vic.),37886
,Loddon,3909
,Macedon_Ranges,25488
,Manningham,61139
,Mansfield,4992
,Maribyrnong,43505
,Maroondah,56452
,Melbourne,76859
,Melton,90794
,Mildura,28205
,Mitchell,25141
,Moira,15198
,Monash,96694
,Moonee_Valley,59965
,Moorabool,18888
,Moreland,84997
,Mornington_Peninsula,82744
,Mount_Alexander,10080
,Moyne,8575
