lga,genderDiff
Albury,-0.025198087
Armidale Regional,-0.029864994
Ballina,-0.026942736
Balranald,-0.006796556
Bathurst Regional,0.01518796
Bayside (NSW),0.003140957
Bega Valley,-0.008361064
Bellingen,-0.021444268
Berrigan,-0.003251277
Blacktown,0.002964642
Bland,0.01335258
Blayney,0.000266383
Blue Mountains,-0.026722818
Bogan,-0.002821443
Bourke,-0.006206041
Brewarrina,0.045698925
Broken Hill,-0.013985618
Burwood,-0.015372429
Byron,-0.033345345
Cabonne,0.001598837
Camden,-0.013563872
Campbelltown (NSW),-0.01336605
Canada Bay,-0.03005565
Canterbury-Bankstown,0.008379843
Carrathool,0.081853013
Central Coast (NSW),-0.025739209
Central Darling,0.043181818
Cessnock,0.014668706
Clarence Valley,0.010335917
Cobar,0.023914104
Coffs Harbour,-0.023648048
Coolamon,-0.017496024
Coonamble,0.008868023
Cootamundra-Gundagai Regional,0.002546764
Cowra,0.004783188
Cumberland,0.038262249
Dubbo Regional,-0.00082856
Dungog,0.008923885
Edward River,0.000118526
Eurobodalla,-0.010110499
Fairfield,-0.00805626
Federation,0.003509867
Forbes,-0.007566876
Georges River,-0.009017505
Gilgandra,-0.003936096
Glen Innes Severn,-0.001120825
Goulburn Mulwaree,0.01761155
Greater Hume Shire,0.028185502
Griffith,0.016040026
Gunnedah,0.004814673
Gwydir,-0.020566076
Hawkesbury,0.000843432
Hay,0.007977801
Hilltops,-0.009783514
Hornsby,-0.01505009
Hunters Hill,-0.01979251
Inner West,-0.019480661
Inverell,-0.000725487
Junee,0.154418605
Kempsey,0.013629283
Kiama,-0.017899917
Ku-ring-gai,-0.030266567
Kyogle,-0.011986301
Lachlan,0.005691982
Lake Macquarie,-0.013642291
Lane Cove,-0.012348173
Leeton,-0.006706733
Lismore,-0.007802634
Lithgow,0.01755059
Liverpool,0.00161708
Liverpool Plains,0.014984227
Lockhart,0.013822115
Maitland,-0.016620101
Mid-Coast,-0.015421312
Mid-Western Regional,0.01774043
Moree Plains,0.009335699
Mosman,-0.071431081
Murray River,0.005320814
Murrumbidgee,0.031986532
Muswellbrook,0.037963919
Nambucca Valley,-0.017423313
Narrabri,0.023342962
Narrandera,-0.004013261
Narromine,0.02264268
Newcastle,-0.006337225
North Sydney,-0.052807371
Northern Beaches,-0.016375467
Oberon,0.053918045
Orange,-0.01563929
Parkes,0.005189234
Parramatta,0.008969669
Penrith,-0.006319901
Port Macquarie-Hastings,-0.031079286
Port Stephens,-0.006801095
Queanbeyan-Palerang Regional,0.01688656
Randwick,-0.019434485
Richmond Valley,-4.24E-05
Ryde,-0.017376496
Shellharbour,-0.013356357
Shoalhaven,0.000857167
Singleton,0.044783365
Snowy Monaro Regional,0.04039891
Snowy Valleys,0.012146836
Strathfield,0.031918136
Sutherland Shire,-0.016626029
Sydney,0.054172426
Tamworth Regional,-0.009080626
Temora,-0.021290752
Tenterfield,-0.013239188
The Hills Shire,-0.008991787
Tweed,-0.029263723
Upper Hunter Shire,0.008418689
Upper Lachlan Shire,0.026969733
Uralla,-0.014183214
Wagga Wagga,-0.016239316
Walcha,-0.001325381
Walgett,0.005366726
Warren,0.01778809
Warrumbungle Shire,0.005835314
Waverley,-0.022136392
Weddin,0.032042352
Wentworth,0.058100708
Willoughby,-0.033958492
Wingecarribee,-0.029548574
Wollondilly,0.006460425
Wollongong,-0.005417946
Woollahra,-0.060548143
Yass Valley,-0.000928397
Unincorporated NSW,-0.029411765
Alpine,-0.010337489
Ararat,0.060823957
Ballarat,-0.033062512
Banyule,-0.022673031
Bass Coast,-0.022120519
Baw Baw,-0.022125738
Bayside (Vic.),-0.041363339
Benalla,-0.022798143
Boroondara,-0.036697842
Brimbank,0.005642767
Buloke,0.036215334
Campaspe,-0.009780776
Cardinia,-0.010148844
Casey,0.000933813
Central Goldfields,-0.00597818
Colac Otway,0.007801291
Corangamite,0.006924949
Darebin,-0.023274687
East Gippsland,-0.013642086
Frankston,-0.018628071
Gannawarra,-0.001696193
Glen Eira,-0.025463716
Glenelg,-0.000299162
Golden Plains,0.028899875
Greater Bendigo,-0.025812359
Greater Dandenong,0.020172191
Greater Geelong,-0.021826159
Greater Shepparton,-0.001079945
Hepburn,-0.015659141
Hindmarsh,0
Hobsons Bay,-0.01724194
Horsham,-0.013206343
Hume,0.004569577
Indigo,-0.009565772
Kingston (Vic.),-0.025964015
Knox,-0.016525012
Latrobe (Vic.),-0.017045897
Loddon,0.015324675
Macedon Ranges,-0.011633318
Manningham,-0.028205393
Mansfield,-0.012658228
Maribyrnong,0.007083497
Maroondah,-0.027360441
Melbourne,0.00028632
Melton,0.002014093
Mildura,-0.009812354
Mitchell,0.012036068
Moira,0.001482653
Monash,0.001745653
Moonee Valley,-0.02468182
Moorabool,-0.003140256
Moreland,-0.020438974
Mornington Peninsula,-0.028769294
Mount Alexander,0.002685765
Moyne,-0.008154531
Murrindindi,0.036606317
Nillumbik,-0.008415545
Northern Grampians,0.008329828
Port Phillip,-0.019360822
Pyrenees,0.049520557
Queenscliffe,-0.054095827
South Gippsland,-0.006188689
Southern Grampians,-0.014919942
Stonnington,-0.041024483
Strathbogie,-0.002639916
Surf Coast,-0.008904128
Swan Hill,0.007061685
Towong,0.023451399
Wangaratta,-0.029724277
Warrnambool,-0.033456619
Wellington,0.012232685
West Wimmera,0.015841086
Whitehorse,-0.027826625
Whittlesea,-0.003239876
Wodonga,-0.02063312
Wyndham,0.013690398
Yarra,-0.018078936
Yarra Ranges,-0.005926858
Yarriambiack,0.01919828
Unincorporated Vic,0.162790698
Aurukun,-0.053934571
Balonne,0.005709066
Banana,0.033622042
Barcaldine,0.019210618
Barcoo,0.070512821
Blackall Tambo,-0.019791667
Boulia,-0.127659574
Brisbane,-0.008010924
Bulloo,0.046783626
Bundaberg,-0.011046965
Burdekin,0.022800143
Burke,0.213953488
Cairns,-0.007938008
Carpentaria,0.075497916
Cassowary Coast,0.029906859
Central Highlands (Qld),0.051110876
Charters Towers,0.001761302
Cherbourg,-0.097359736
Cloncurry,0.131443995
Cook,0.07277046
Croydon,-0.130111524
Diamantina,0.125925926
Doomadgee,-0.003484321
Douglas,0.018561671
Etheridge,0.135359116
Flinders (Qld),-0.001972387
Fraser Coast,-0.016095933
Gladstone,0.019656631
Gold Coast,-0.023567132
Goondiwindi,0.004998078
Gympie,-0.002915452
Hinchinbrook,0.026382824
Hope Vale,0.035035035
Ipswich,-0.004869225
Isaac,0.129225007
Kowanyama,0.023465704
Livingstone,0.032973095
Lockhart River,0.090352221
