lga,Gender Difference
Armidale_Regional,-0.029864993863357427
Ballina,-0.02694273585722949
Balranald,-0.006796556411418215
Bathurst_Regional,0.015187959590406157
Bayside_(NSW),0.003140956827463209
Bega_Valley,-0.008361063728642934
Bellingen,-0.021444267636584073
Berrigan,-0.003251277287505806
Blacktown,0.0029646419538116287
Bland,0.01335258029592205
Blayney,0.0002663825253063399
Blue_Mountains,-0.02672281776416539
Bogan,-0.0028214429665457475
Bourke,-0.006206040546131568
Brewarrina,0.0456989247311828
Broken_Hill,-0.013985618028424211
Burwood,-0.015372428645691511
Byron,-0.03334534467943565
Cabonne,0.0015988372093023256
Camden,-0.013563871914365033
Campbelltown_(NSW),-0.013366049671054482
Canada_Bay,-0.030055650350742192
Canterbury-Bankstown,0.008379843253957596
Carrathool,0.08185301288749565
Central_Coast_(NSW),-0.02573920930940154
Central_Darling,0.04318181818181818
Cessnock,0.014668705720795231
Clarence_Valley,0.0103359173126615
Cobar,0.023914104441190825
Coffs_Harbour,-0.02364804795651401
Coolamon,-0.017496023630992955
Coonamble,0.008868022952529996
Cootamundra-Gundagai_Regional,0.002546763853517169
Cowra,0.004783188269426802
Cumberland,0.03826224915188442
Dubbo_Regional,-0.0008285601066320833
Dungog,0.008923884514435695
Edward_River,0.00011852554225435582
Eurobodalla,-0.01011049860331743
Fairfield,-0.008056259867004737
Federation,0.0035098666250682475
Forbes,-0.0075668762655866995
Georges_River,-0.009017504567690222
Gilgandra,-0.003936096318592266
Glen_Innes_Severn,-0.0011208249271463797
Goulburn_Mulwaree,0.01761155018980646
Greater_Hume_Shire,0.028185502026114362
Griffith,0.016040026488117136
Gunnedah,0.0048146732900267485
Gwydir,-0.02056607615556913
Hawkesbury,0.00084343232565366
Hay,0.007977800901838363
Hilltops,-0.009783513738551207
Hornsby,-0.015050090326818854
Hunters_Hill,-0.01979250974909867
Inner_West,-0.01948066081884074
Inverell,-0.0007254869133322172
Junee,0.15441860465116278
Kempsey,0.013629283489096573
Kiama,-0.01789991725099081
Ku-ring-gai,-0.0302665671953088
Kyogle,-0.011986301369863013
Lachlan,0.005691982436168482
